CustomerId,Exited,P_Hat
15634602,1,0.124048376477557
15647311,0,0.15920497282344
15619304,1,0.326059827826468
15701354,0,0.226188702582126
15737888,0,0.156311150201132
15574012,1,0.246174520954035
15592531,0,0.0987195636143734
15656148,1,0.293328089892624
15792365,0,0.116341580237727
15592389,0,0.0369331782250898
15767821,0,0.123880713419973
15737173,0,0.0605434417449862
15632264,0,0.169996783840158
15691483,0,0.0989081797438093
15600882,0,0.0660853818682984
15643966,0,0.219463871488544
15737452,1,0.700780182262252
15788218,0,0.0316344650028699
15661507,0,0.226261916940518
15568982,0,0.0295070032901887
15577657,0,0.0562226958477444
15597945,0,0.140979224229255
15699309,1,0.244589283493173
15725737,0,0.0882346737332267
15625047,0,0.0797248611777651
15738191,0,0.0219015996947444
15736816,0,0.129248069034857
15700772,0,0.192467759707898
15728693,0,0.317693237573923
15656300,0,0.0465704751963718
15589475,1,0.216895448435674
15706552,0,0.0692493123597213
15750181,0,0.36719786107732
15659428,0,0.114420341469484
15732963,0,0.0401236267023258
15794171,1,0.45561829679127
15788448,0,0.0545231817391244
15729599,0,0.0473184144836757
15717426,0,0.0409897294346268
15585768,0,0.167228595676972
15619360,0,0.184907249065697
15738148,1,0.533675844453435
15687946,0,0.454691714429188
15755196,1,0.45957396505129
15684171,0,0.42774647065055
15754849,0,0.139614507472598
15602280,1,0.0996424622460798
15771573,1,0.232623358631804
15766205,0,0.163599237182258
15771873,0,0.413557984842246
15616550,0,0.392129114406613
15768193,0,0.29793632175626
15683553,0,0.143137961307523
15702298,1,0.377950004669922
15569590,1,0.429158481079238
15760861,0,0.114969537926208
15630053,0,0.287465225818036
15647091,0,0.115886715931233
15623944,1,0.712177833309923
15804771,0,0.176873411228835
15651280,0,0.280358767404405
15773469,0,0.246863811979341
15702014,0,0.145836841646164
15751208,0,0.220049664797284
15592461,0,0.0711309495195772
15789484,0,0.1780546174984
15696061,0,0.419368338820318
15641582,0,0.166579486232432
15638424,0,0.178110867279295
15755648,0,0.100376699564016
15703793,1,0.620806067324328
15620344,0,0.0727941204978019
15812518,0,0.124345053348357
15779052,0,0.0983307581295923
15770811,0,0.0449601107762041
15780961,0,0.0997948181509158
15614049,0,0.1471026737102
15662085,0,0.0556108406917718
15575185,0,0.0502766648285854
15803136,0,0.51553544783826
15706021,0,0.226850823618834
15663706,1,0.1528989796377
15641732,0,0.20190948255933
15701164,0,0.104396437113586
15738751,0,0.347513264644321
15805254,0,0.549500787452621
15762418,1,0.0683728074006519
15625759,0,0.0719006400120523
15622897,1,0.304012628645544
15767954,0,0.11848389102753
15757535,1,0.112455389388193
15731511,0,0.242442953322563
15809248,0,0.18652747985656
15640635,0,0.023720711182958
15676966,0,0.0639810566406073
15699461,0,0.0638841826294998
15738721,0,0.0814257545647156
15693683,0,0.065624550210112
15604348,0,0.0426806101867852
15633059,0,0.11365126731969
15808582,0,0.100244628010719
15743192,0,0.290122578725269
15580146,0,0.113364604062243
15776605,0,0.12406163991129
15804919,1,0.425041116921983
15613854,1,0.190673283170869
15599195,0,0.111268515600485
15812878,0,0.196245392414574
15602312,0,0.149266690173031
15744689,1,0.301462303360006
15803526,0,0.0891632813437737
15665790,0,0.343383707895679
15715951,0,0.264654672331673
15591100,0,0.0618437990668524
15609618,1,0.0649017241386654
15675522,0,0.125909858523869
15705512,0,0.442636622496438
15698028,0,0.278000972757958
15661670,1,0.351090996304684
15600781,0,0.257998933955134
15682472,0,0.122894551246573
15580203,0,0.202048779184731
15690673,0,0.21749328388381
15760085,0,0.356666652994299
15779659,0,0.128312527437146
15627360,1,0.262554023245174
15671137,1,0.237765525127842
15782688,1,0.677843010881393
15575492,0,0.219774573133358
15591607,0,0.0703870370978218
15740404,0,0.0606205963273812
15718369,0,0.149608595325268
15677871,0,0.0705814009476522
15642004,0,0.0210237861577293
15712543,0,0.131347928737307
15584518,0,0.403244092152601
15802381,0,0.198181797526254
15610156,0,0.092370085758429
15594408,1,0.487129339942562
15640905,1,0.103169680716975
15698932,0,0.406729805899705
15724944,0,0.036731054029892
15628145,0,0.165189215160107
15713483,1,0.310783031374207
15612350,1,0.189086909208325
15800703,0,0.043573156871316
15705707,0,0.158474911427998
15754105,0,0.183881610480247
15703264,0,0.249937491025652
15794413,0,0.0417193875345254
15650237,0,0.133433489357991
15759618,1,0.378152370395395
15811589,0,0.159582076838784
15689044,0,0.203845597657667
15709368,0,0.115357670836175
15679145,1,0.388441522647066
15655007,0,0.141731793689139
15623595,0,0.0454529648750072
15589975,0,0.636505195398203
15804017,0,0.383759257147638
15692132,0,0.0394699629586153
15641122,0,0.0819358120452368
15630910,0,0.444138296825429
15680772,0,0.0721297346926974
15658929,1,0.118397374790014
15585388,0,0.0820399961542815
15724623,1,0.226704649846959
15588537,0,0.329101026006085
15574692,1,0.22719083831866
15611325,0,0.131735094105615
15587562,0,0.196075277371676
15613172,0,0.174697819383219
15651022,1,0.451899431347099
15586310,0,0.127795763598216
15625524,0,0.0631436919992151
15755209,0,0.109326675367226
15645248,0,0.056454966471336
15790355,0,0.296638903955158
15762615,0,0.137684843790032
15625426,1,0.743794049108296
15716334,0,0.176331957758266
15789669,0,0.303274276547832
15621075,0,0.564605350480253
15810845,0,0.0699242775950809
15719377,1,0.177992605330718
15654506,0,0.0952142761692128
15771977,0,0.307671909533946
15708710,0,0.0977288010552483
15726676,0,0.0294876279482695
15587421,0,0.357909415694058
15726931,1,0.293440039218837
15771086,0,0.266303268167078
15756850,0,0.177182495256625
15702741,0,0.133275633791925
15679200,0,0.099814033757132
15594815,0,0.058921070627919
15635905,0,0.0553205605273757
15777892,0,0.137715573204076
15656176,0,0.177416013729606
15811127,0,0.17257173535064
15604482,0,0.0409467153146808
15622911,0,0.0944145791590189
15600974,1,0.132590431920195
15727868,1,0.114093150025184
15627801,0,0.16233491802788
15773039,0,0.0565750327831077
15755262,1,0.350218359932221
15679531,0,0.0597798533230892
15684181,1,0.222448613960194
